uid,fp_53_commons,fp_53_commons;baker-berry,fp_53_commons;massrow,fp_53_commons;north-main,fp_53_commons;sudikoff,fp_7-lebanon,fp_baker-berry,fp_baker-berry;hopkins,fp_baker-berry;kemeny,fp_baker-berry;lsb,fp_baker-berry;ripley,fp_baker-berry;sudikoff,fp_butterfield,fp_channing-cox,fp_college-street,fp_cummings,fp_cutter-north,fp_dana-library,fp_dartmouth_hall,fp_east-wheelock,fp_fayerweather,fp_french,fp_gile,fp_hopkins,fp_hopkins;baker-berry,fp_hopkins;lsb,fp_hopkins;north-main,fp_hopkins;ripley,fp_hopkins;sudikoff,fp_kemeny,fp_kemeny;baker-berry,fp_kemeny;hopkins,fp_little_hall,fp_lodge,fp_lsb,fp_lsb;53_commons,fp_lsb;baker-berry,fp_lsb;baker-berry;kemeny,fp_lsb;hopkins,fp_lsb;north-main,fp_lsb;north-park,fp_lsb;sudikoff,fp_massrow,fp_massrow;lsb,fp_maxwell,fp_mclaughlin,fp_moore,fp_newhamp,fp_north-main,fp_north-main;53_commons,fp_north-main;baker-berry,fp_north-main;hopkins,fp_north-main;lsb,fp_north-main;sudikoff,fp_north-park,fp_north-park;lsb,fp_north-park;lsb;north-park,fp_north-park;sudikoff,fp_north-park;sudikoff;north-park,fp_occum,fp_reed,fp_ripley,fp_robinson,fp_ropeferry,fp_silsby-rocky,fp_sport-venues,fp_sport-venues;hopkins,fp_sudikoff,fp_sudikoff;53_commons,fp_sudikoff;baker-berry,fp_sudikoff;hopkins,fp_sudikoff;lsb,fp_sudikoff;north-main,fp_sudikoff;north-park,fp_sudikoff;sudikoff,fp_thayer_secure,fp_vac,fp_wheeler,fp_woodward,extra
12,9.000,0.000,0.000,0.000,0.000,0.000,6.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,15.000,1.000,0.000,0.000,0.000,15.000,1.000,1.000,0.000,0.000,0.000,0.000,11.000,0.000,0.000,0.000,7.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,2.875
13,2.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,7.000,0.000,0.000,0.000,0.000,2.000,0.000,5.000,0.000,0.000,0.000,0.000,1.000,0.000,6.000,0.000,0.000,0.000,1.000,4.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,20.000,2.000,0.000,1.000,5.000,4.000,2.000,5.000,0.000,1.000,0.000,0.000,3.375
14,5.000,0.000,0.000,0.000,0.000,0.000,18.000,3.000,0.000,10.000,0.000,5.000,0.000,0.000,20.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,15.000,0.000,1.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,16.000,1.000,7.000,0.000,2.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,6.000,0.000,7.000,0.000,0.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,5.000,0.000,0.000,0.000,0.000,1.000,2.000,1.000,15.000,1.000,4.000,3.000,1.000,0.000,0.000,0.000,1.000,1.000,20.000,0.000,3.250
15,10.000,0.000,7.000,0.000,1.000,0.000,10.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.000,1.000,0.000,0.000,0.000,2.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.000,10.000,2.000,0.000,0.000,0.000,0.000,0.000,19.000,6.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,5.000,6.000,1.000,3.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,6.000,0.000,0.000,0.000,3.250
16,15.000,0.000,11.000,1.000,2.000,1.000,4.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,0.000,15.000,1.000,2.000,0.000,2.000,0.000,0.000,4.000,20.000,12.000,0.000,0.000,0.000,0.000,6.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,4.000,0.000,0.000,6.000,0.000,14.000,6.000,2.000,0.000,2.000,0.000,0.000,2.000,1.000,0.000,0.000,0.000,1.750
17,2.000,0.000,0.000,0.000,0.000,0.000,7.000,1.000,0.000,2.000,0.000,3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,20.000,9.000,0.000,3.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,15.000,0.000,2.000,0.000,0.000,0.000,0.000,11.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,19.000,1.000,3.000,3.000,1.000,0.000,0.000,1.000,0.000,1.000,0.000,0.000,2.625
18,5.000,0.000,0.000,5.000,0.000,0.000,8.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.000,0.000,0.000,3.000,0.000,2.000,1.000,0.000,0.000,0.000,0.000,11.000,0.000,1.000,0.000,0.000,0.000,0.000,9.000,0.000,0.000,0.000,0.000,1.000,0.000,20.000,1.000,2.000,2.000,2.000,6.000,0.000,0.000,0.000,0.000,0.000,0.000,16.000,0.000,0.000,3.000,0.000,5.000,2.000,17.000,3.000,4.000,2.000,0.000,8.000,0.000,1.000,0.000,0.000,0.000,0.000,2.625
19,5.000,0.000,0.000,0.000,0.000,0.000,4.000,1.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.000,0.000,0.000,0.000,12.000,0.000,3.000,1.000,0.000,1.000,14.000,0.000,1.000,0.000,0.000,16.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,20.000,0.000,0.000,4.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,8.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,12.000,0.000,0.000,1.750
20,3.000,2.000,0.000,0.000,1.000,0.000,11.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.000,0.000,0.000,0.000,0.000,0.000,9.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,2.000,1.000,0.000,0.000,0.000,0.000,20.000,9.000,9.000,4.000,3.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,0.000,5.000,1.000,1.000,0.000,0.000,0.000,4.000,0.000,0.000,1.000,0.000,0.000,3.875
22,18.000,0.000,15.000,0.000,1.000,0.000,7.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,5.000,0.000,0.000,0.000,0.000,0.000,9.000,0.000,0.000,0.000,0.000,7.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,20.000,7.000,0.000,0.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,2.000,0.000,0.000,0.000,7.000,3.000,4.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.625
23,3.000,0.000,0.000,0.000,1.000,0.000,3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.000,1.000,0.000,0.000,0.000,0.000,9.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,20.000,11.000,9.000,6.000,4.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,0.000,8.000,1.000,1.000,0.000,0.000,0.000,6.000,1.000,0.000,1.000,0.000,0.000,3.000
24,8.000,0.000,0.000,0.000,2.000,0.000,11.000,0.000,0.000,5.000,0.000,0.000,5.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.000,0.000,0.000,0.000,0.000,0.000,6.000,4.000,0.000,0.000,0.000,14.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,20.000,0.000,0.000,0.000,0.000,12.000,2.000,0.000,8.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,3.500
27,0.000,0.000,0.000,0.000,0.000,0.000,18.000,1.000,0.000,3.000,13.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.000,0.000,0.000,0.000,0.000,9.000,1.000,0.000,0.000,7.000,1.000,0.000,0.000,0.000,0.000,0.000,14.000,0.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,20.000,1.000,0.000,10.000,0.000,0.000,2.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,2.500
30,13.000,2.000,0.000,0.000,4.000,0.000,18.000,5.000,13.000,3.000,0.000,3.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,2.000,0.000,0.000,18.000,6.000,11.000,1.000,0.000,1.000,13.000,1.000,11.000,0.000,1.000,15.000,0.000,10.000,10.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,20.000,4.000,0.000,0.000,0.000,0.000,0.000,9.000,0.000,0.000,0.000,0.000,8.000,0.000,0.000,1.000,1.000,0.000,2.000,0.000,9.000,1.000,5.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.500
31,0.000,0.000,0.000,0.000,0.000,8.000,4.000,0.000,0.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,6.000,0.000,0.000,1.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,10.000,0.000,0.000,0.000,0.000,0.000,0.000,9.000,0.000,0.000,0.000,0.000,0.000,0.000,11.000,0.000,1.000,0.000,1.000,7.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,20.000,0.000,3.000,3.000,2.000,10.000,0.000,7.000,0.000,0.000,0.000,0.000,4.250
32,17.000,0.000,7.000,0.000,1.000,0.000,6.000,0.000,0.000,0.000,0.000,4.000,0.000,0.000,2.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,0.000,10.000,0.000,0.000,0.000,0.000,0.000,17.000,3.000,1.000,0.000,0.000,15.000,8.000,0.000,0.000,5.000,0.000,0.000,2.000,20.000,12.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,13.000,0.000,0.000,4.000,5.000,0.000,1.000,0.000,10.000,4.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.250
33,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,1.000,0.000,0.000,0.000,20.000,3.000,11.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.000,0.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,11.000,0.000,0.000,0.000,3.000,4.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,5.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.875
34,7.000,0.000,0.000,0.000,3.000,5.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.000,0.000,6.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.000,0.000,0.000,0.000,1.000,0.000,1.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,7.000,0.000,0.000,0.000,1.000,3.000,10.000,2.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,15.000,3.000,0.000,1.000,2.000,1.000,2.000,0.000,0.000,0.000,0.000,0.000,3.250
35,9.000,0.000,0.000,0.000,1.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.000,0.000,0.000,0.000,0.000,0.000,2.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000,0.000,19.000,7.000,1.000,3.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.000,1.000,0.000,1.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,2.625
36,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,7.000,0.000,0.000,0.000,0.000,5.000,2.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,20.000,0.000,0.000,2.000,0.000,7.000,1.000,5.000,0.000,0.000,0.000,0.000,3.500
39,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.375
42,9.000,0.000,0.000,0.000,6.000,5.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,14.000,5.000,0.000,0.000,0.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,5.000,0.000,0.000,0.000,0.000,4.000,6.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,15.000,0.000,1.000,1.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,3.125
43,17.000,0.000,0.000,1.000,2.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,18.000,0.000,0.000,17.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,14.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.000,7.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,5.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.375
44,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.000,0.000,0.000,0.000,0.000,0.000,0.000,10.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,20.000,0.000,0.000,0.000,8.000,1.000,1.000,5.000,0.000,0.000,0.000,0.000,3.375
45,2.000,0.000,0.000,0.000,1.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.000,0.000,4.000,0.000,0.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.000,1.000,0.000,0.000,0.000,0.000,3.000,3.000,0.000,0.000,0.000,0.000,0.000,0.000,9.000,0.000,0.000,1.000,1.000,1.000,5.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,14.000,0.000,0.000,0.000,0.000,4.000,1.000,0.000,0.000,0.000,0.000,0.000,3.750
46,4.000,0.000,0.000,0.000,1.000,2.000,17.000,3.000,4.000,1.000,0.000,1.000,3.000,0.000,18.000,0.000,0.000,0.000,0.000,1.000,0.000,19.000,0.000,17.000,2.000,0.000,0.000,0.000,2.000,11.000,5.000,1.000,0.000,0.000,6.000,0.000,2.000,2.000,2.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,10.000,4.000,0.000,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000,0.000,4.000,1.000,8.000,0.000,1.000,2.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,3.125
47,17.000,0.000,0.000,0.000,2.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,6.000,0.000,0.000,0.000,0.000,0.000,5.000,0.000,0.000,0.000,0.000,5.000,1.000,0.000,0.000,0.000,0.000,8.000,1.000,0.000,0.000,0.000,0.000,0.000,5.000,0.000,0.000,0.000,0.000,0.000,0.000,6.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,17.000,11.000,0.000,1.000,2.000,3.000,0.000,1.000,2.000,0.000,0.000,0.000,4.375
49,3.000,0.000,0.000,0.000,1.000,1.000,17.000,1.000,12.000,1.000,0.000,6.000,0.000,0.000,0.000,5.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.000,6.000,0.000,1.000,0.000,2.000,14.000,7.000,0.000,19.000,0.000,14.000,0.000,9.000,8.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,18.000,0.000,0.000,0.000,0.000,4.000,2.000,14.000,0.000,4.000,2.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,2.875
