uid,early_all,late_all,absent_all,extra,agrbl,consc,neuro,openn
01,-0.792,-0.026,0.988,3.125,3.778,4.444,2.750,3.900
02,-0.446,0.534,0.060,2.125,3.000,4.222,3.500,3.200
03,0.323,-1.591,1.047,2.125,3.222,3.889,3.375,2.700
04,0.469,-0.026,-0.548,2.375,3.111,2.667,4.125,2.900
05,1.147,-1.167,-0.341,3.125,3.778,4.444,2.750,3.300
07,1.236,-1.271,-0.355,3.125,4.222,3.778,2.143,2.300
08,0.046,0.686,-0.677,2.625,3.778,4.222,3.250,3.300
09,-0.404,2.323,-1.611,2.375,4.556,2.667,2.125,3.300
10,2.029,-0.915,-1.643,2.000,1.333,4.778,3.375,3.600
12,2.038,-1.983,-0.687,2.875,3.556,3.667,2.875,3.400
13,0.386,-0.864,0.313,3.375,3.556,2.444,3.375,4.300
14,1.632,-1.200,-0.902,3.250,3.667,3.375,2.429,3.300
15,-0.046,-0.026,0.079,3.250,3.556,3.111,2.750,3.000
16,1.258,-0.193,-1.358,1.750,3.333,3.556,4.250,3.800
17,-0.087,0.864,-0.677,2.625,3.889,3.333,3.125,4.500
18,-1.277,1.809,-0.083,2.625,2.222,3.222,3.750,2.500
19,0.971,0.330,-1.482,1.750,3.111,3.444,3.625,3.200
20,-1.069,-0.864,2.085,3.875,4.333,3.333,2.375,3.600
22,-0.671,-0.515,1.283,3.625,3.444,4.556,2.875,3.800
23,-0.238,-1.144,1.325,3.000,3.667,3.000,3.750,3.600
24,-0.894,0.077,1.019,3.500,2.667,2.333,3.125,3.500
27,-2.004,2.584,0.102,2.500,3.889,2.667,3.125,3.300
30,1.368,-0.559,-1.160,4.500,4.111,4.444,2.000,3.600
31,-0.986,-0.613,1.755,4.250,3.889,2.889,3.125,3.700
32,-0.219,1.398,-0.999,4.250,4.222,4.333,1.750,3.700
33,-0.186,-0.026,0.249,2.875,3.333,1.889,3.625,4.600
34,-0.653,0.813,0.060,3.250,4.333,3.111,2.875,3.300
35,-1.277,-0.585,2.085,2.625,3.889,3.556,2.625,3.400
42,0.178,0.813,-0.953,3.125,4.222,2.444,2.500,3.900
43,0.760,-0.417,-0.548,2.375,4.111,4.222,2.500,3.300
44,0.323,-0.613,0.161,3.375,3.667,3.778,2.250,3.600
45,-0.653,-0.026,0.819,3.750,3.667,3.444,3.125,3.700
46,-1.398,0.627,1.135,3.125,3.111,3.556,3.500,4.200
47,-1.713,0.170,1.933,4.375,3.222,3.444,2.000,3.800
49,-0.428,1.605,-0.932,2.875,4.222,3.667,2.500,4.300
50,-0.549,0.953,-0.193,3.875,3.333,3.556,2.500,3.500
51,-0.030,-0.585,0.566,3.375,3.778,3.778,2.750,4.000
52,1.103,-0.915,-0.516,1.625,3.333,2.222,4.125,3.500
53,-0.004,0.464,-0.415,2.250,4.000,2.889,4.500,4.400
54,-1.662,1.213,0.927,3.000,3.333,3.111,2.750,3.100
57,1.341,-0.417,-1.257,2.125,4.000,3.222,2.125,2.700
58,0.386,0.254,-0.700,2.125,4.333,3.556,3.875,3.600
59,1.185,-0.929,-0.602,4.000,4.111,2.556,2.875,3.500
