uid,len_var,start_time_var,end_time_var,early,late,absent,late_time_var,days,views,contributions,questions,answers,extra,agrbl,consc,neuro,openn
45,1.111,1.831,2.227,-0.682,-0.027,0.855,-0.001,-1.777,-1.829,-0.289,-0.645,-0.294,3.75,3.667,3.444,3.125,3.7
46,3.874,-0.664,-0.875,-1.459,0.654,1.185,-0.152,1.277,0.95,-0.131,0.747,-0.207,3.125,3.111,3.556,3.5,4.2
47,-0.753,1.437,1.907,-1.787,0.178,2.017,-0.117,-1.226,-1.953,-0.278,-0.645,-0.294,4.375,3.222,3.444,2,3.8
49,1.044,-0.374,-0.718,-0.447,1.675,-0.972,-0.548,0.877,0.351,-0.176,-0.049,-0.207,2.875,4.222,3.667,2.5,4.3
50,-0.753,0.319,-0.057,-0.573,0.994,-0.202,-0.11,-1.426,-0.93,-0.176,-0.645,0.482,3.875,3.333,3.556,2.5,3.5
51,-0.887,0.532,1.801,-0.031,-0.61,0.59,3.774,0.326,1.157,0.151,-0.645,0.913,3.375,3.778,3.778,2.75,4
52,-0.31,-0.178,-0.521,1.151,-0.955,-0.538,-0.409,-0.025,-0.021,-0.289,-0.645,-0.294,1.625,3.333,2.222,4.125,3.5
53,-0.82,-0.758,0.581,-0.004,0.484,-0.433,0.666,-0.125,0.847,-0.289,-0.645,-0.294,2.25,4,2.889,4.5,4.4
54,0.555,0.604,0.379,-1.735,1.265,0.968,-0.633,-0.475,-0.651,-0.255,-0.446,-0.294,3,3.333,3.111,2.75,3.1
56,-0.958,-0.601,-0.645,0,0,0,0,-2.127,-2.17,-0.289,-0.645,-0.294,1.625,4.111,3.333,2,4.1
57,0.088,-0.662,-1.176,1.4,-0.435,-1.311,-0.317,0.376,0.919,-0.097,-0.049,-0.035,2.125,4,3.222,2.125,2.7
58,-0.577,-1.068,-0.654,0.402,0.265,-0.73,0.2,-1.126,-0.775,-0.267,-0.645,-0.294,2.125,4.333,3.556,3.875,3.6
59,0.762,-0.119,-0.737,1.236,-0.969,-0.629,0.232,0.676,0.95,-0.176,-0.248,-0.207,4,4.111,2.556,2.875,3.5
