uid,early_all,late_all,absent_all,extra,agrbl,consc,neuro,openn
00,1.570,-0.025,-1.867,3.750,2.889,3.000,3.125,4.500
01,-0.813,-0.025,1.001,3.125,3.778,4.444,2.750,3.900
02,-0.473,0.540,0.099,2.125,3.000,4.222,3.500,3.200
03,0.283,-1.608,1.058,2.125,3.222,3.889,3.375,2.700
04,0.426,-0.025,-0.491,2.375,3.111,2.667,4.125,2.900
05,1.093,-1.180,-0.290,3.125,3.778,4.444,2.750,3.300
07,1.180,-1.284,-0.303,3.125,4.222,3.778,2.143,2.300
08,0.010,0.694,-0.616,2.625,3.778,4.222,3.250,3.300
09,-0.432,2.349,-1.523,2.375,4.556,2.667,2.125,3.300
10,1.959,-0.925,-1.554,2.000,1.333,4.778,3.375,3.600
12,1.968,-2.004,-0.626,2.875,3.556,3.667,2.875,3.400
13,0.344,-0.873,0.345,3.375,3.556,2.444,3.375,4.300
14,1.570,-1.213,-0.835,3.250,3.667,3.375,2.429,3.300
15,-0.080,-0.025,0.118,3.250,3.556,3.111,2.750,3.000
16,1.202,-0.195,-1.277,1.750,3.333,3.556,4.250,3.800
17,-0.120,0.874,-0.616,2.625,3.889,3.333,3.125,4.500
18,-1.290,1.830,-0.039,2.625,2.222,3.222,3.750,2.500
19,0.920,0.335,-1.398,1.750,3.111,3.444,3.625,3.200
20,-1.086,-0.873,2.066,3.875,4.333,3.333,2.375,3.600
22,-0.694,-0.520,1.287,3.625,3.444,4.556,2.875,3.800
23,-0.269,-1.156,1.328,3.000,3.667,3.000,3.750,3.600
24,-0.914,0.079,1.031,3.500,2.667,2.333,3.125,3.500
27,-2.005,2.613,0.140,2.500,3.889,2.667,3.125,3.300
30,1.310,-0.565,-1.085,4.500,4.111,4.444,2.000,3.600
31,-1.004,-0.619,1.746,4.250,3.889,2.889,3.125,3.700
32,-0.250,1.414,-0.928,4.250,4.222,4.333,1.750,3.700
33,-0.218,-0.025,0.284,2.875,3.333,1.889,3.625,4.600
34,-0.677,0.823,0.099,3.250,4.333,3.111,2.875,3.300
35,-1.290,-0.591,2.066,2.625,3.889,3.556,2.625,3.400
42,0.140,0.823,-0.884,3.125,4.222,2.444,2.500,3.900
43,0.712,-0.421,-0.491,2.375,4.111,4.222,2.500,3.300
44,0.283,-0.619,0.198,3.375,3.667,3.778,2.250,3.600
45,-0.677,-0.025,0.837,3.750,3.667,3.444,3.125,3.700
46,-1.409,0.634,1.144,3.125,3.111,3.556,3.500,4.200
47,-1.719,0.173,1.918,4.375,3.222,3.444,2.000,3.800
49,-0.456,1.624,-0.863,2.875,4.222,3.667,2.500,4.300
50,-0.575,0.964,-0.146,3.875,3.333,3.556,2.500,3.500
51,-0.064,-0.591,0.591,3.375,3.778,3.778,2.750,4.000
52,1.050,-0.925,-0.459,1.625,3.333,2.222,4.125,3.500
53,-0.039,0.469,-0.361,2.250,4.000,2.889,4.500,4.400
54,-1.669,1.227,0.942,3.000,3.333,3.111,2.750,3.100
57,1.284,-0.421,-1.179,2.125,4.000,3.222,2.125,2.700
58,0.344,0.257,-0.638,2.125,4.333,3.556,3.875,3.600
59,1.130,-0.939,-0.543,4.000,4.111,2.556,2.875,3.500
